3;284
3,02;281
3,04;278
3,06;270
3,08;268
3,1;267
3,12;265
3,14;263
3,16;259
3,18;258
3,2;250
3,22;247
3,24;249
3,26;253
3,28;255
3,3;255
3,32;263
3,34;263
3,36;261
3,38;253
3,4;247
3,42;237
3,44;235
3,46;237
3,48;236
3,5;235
3,52;237
3,54;239
3,56;240
3,58;241
3,6;239
3,62;233
3,64;230
3,66;230
3,68;232
3,7;236
3,72;236
3,74;236
3,76;242
3,78;238
3,8;237
3,82;240
3,84;241
3,86;236
3,88;233
3,9;235
3,92;231
3,94;234
3,96;231
3,98;231
4;235
4,02;234
4,04;236
4,06;234
4,08;235
4,1;234
4,12;233
4,14;233
4,16;230
4,18;231
4,2;228
4,22;228
4,24;233
4,26;237
4,28;235
4,3;231
4,32;229
4,34;230
4,36;228
4,38;228
4,4;226
4,42;228
4,44;224
4,46;225
4,48;225
4,5;229
4,52;229
4,54;231
4,56;235
4,58;242
4,6;248
4,62;249
4,64;253
4,66;251
4,68;246
4,7;246
4,72;240
4,74;237
4,76;236
4,78;234
4,8;240
4,82;238
4,84;238
4,86;237
4,88;241
4,9;240
4,92;240
4,94;244
4,96;245
4,98;244
5;245
5,02;244
5,04;242
5,06;238
5,08;236
5,1;236
5,12;241
5,14;243
5,16;248
5,18;253
5,2;255
5,22;253
5,24;254
5,26;253
5,28;251
5,3;250
5,32;250
5,34;253
5,36;257
5,38;256
5,4;255
5,42;254
5,44;257
5,46;252
5,48;251
5,5;248
5,52;251
5,54;251
5,56;250
5,58;251
5,6;253
5,62;254
5,64;255
5,66;261
5,68;262
5,7;257
5,72;260
5,74;260
5,76;262
5,78;261
5,8;259
5,82;260
5,84;256
5,86;254
5,88;260
5,9;263
5,92;262
5,94;260
5,96;263
5,98;267
6;267
6,02;271
6,04;269
6,06;267
6,08;261
6,1;261
6,12;261
6,14;263
6,16;261
6,18;264
6,2;269
6,22;274
6,24;276
6,26;278
6,28;279
6,3;281
6,32;279
6,34;276
6,36;274
6,38;278
6,4;281
6,42;287
6,44;290
6,46;292
6,48;296
6,5;299
6,52;301
6,54;303
6,56;301
6,58;299
6,6;300
6,62;296
6,64;296
6,66;296
6,68;295
6,7;293
6,72;296
6,74;297
6,76;299
6,78;305
6,8;305
6,82;305
6,84;304
6,86;299
6,88;295
6,9;297
6,92;294
6,94;295
6,96;297
6,98;297
7;300
7,02;307
7,04;309
7,06;310
7,08;307
7,1;304
7,12;302
7,14;305
7,16;305
7,18;303
7,2;301
7,22;300
7,24;299
7,26;306
7,28;306
7,3;304
7,32;302
7,34;305
7,36;305
7,38;308
7,4;308
7,42;311
7,44;310
7,46;312
